,Suburbs,Country,Lat,Lng
1017,Long Forest,N/A,N/A,N/A
1018,Long Gully,AU,-36.741,144.2584
1019,Longford,AU,-41.6,147.1167
1020,Longlea,AU,-36.7833,144.4333
1021,Longwarry,AU,-38.1,145.7667
1022,Longwarry North,AU,-38.0833,145.7667
1023,Longwood,AU,-35.0449,138.7274
1024,Longwood East,N/A,N/A,N/A
1025,Lorne,AU,-38.55,143.9667
1026,Lovely Banks,AU,-38.0667,144.3333
1027,Lower Plenty,AU,-37.7333,145.1167
1028,Lucas,AU,-37.5522,143.7697
1029,Lucknow,AU,-33.346,149.1621
1030,Lynbrook,AU,-38.0559,145.2561
1031,Lyndhurst,AU,-30.2833,138.35
1032,Lyons,AU,-35.3406,149.0739
1033,Lyonville,AU,-37.3833,144.2667
1034,Lysterfield,AU,-37.9333,145.3
1035,Lysterfield South,AU,-37.9525,145.2669
1036,Macarthur,AU,-35.4086,149.132
1037,Macclesfield,AU,-35.1833,138.8333
1038,Macedon,AU,-37.4167,144.5667
1039,Macleod,AU,-37.7204,145.0698
1040,Macorna,AU,-35.9,144.0167
1041,Macs Cove,N/A,N/A,N/A
1042,Maddingley,AU,-37.6852,144.4324
1043,Mafeking,N/A,N/A,N/A
1044,Maffra,AU,-37.9667,146.9833
1045,Maffra West Upper,AU,-37.9,146.85
1046,Magpie,AU,-37.6167,143.85
1047,Maiden Gully,AU,-36.7427,144.2005
1048,Maidstone,AU,-37.7819,144.8742
1049,Mailors Flat,AU,-38.3,142.4667
1050,Main Ridge,N/A,N/A,N/A
1051,Maindample,AU,-37.0333,145.9333
1052,Major Plains,N/A,N/A,N/A
1053,Majorca,AU,-37.1167,143.8
1054,Maldon,AU,-36.9833,144.0833
1055,Mallacoota,AU,-37.55,149.75
1056,Malmsbury,AU,-37.1833,144.3833
1057,Malvern,AU,-37.8626,145.0281
1058,Malvern East,AU,-37.874,145.0425
1059,Mambourin,N/A,N/A,N/A
1060,Manangatang,AU,-35.05,142.8833
1061,Mandurang,AU,-36.8167,144.3
1062,Mandurang South,AU,-36.85,144.2833
1063,Mangalore,AU,-42.6539,147.2416
1064,Manifold Heights,AU,-38.1374,144.3338
1065,Manns Beach,N/A,N/A,N/A
1066,Mansfield,AU,-37.05,146.0833
1067,Marcus Hill,AU,-38.25,144.5667
1068,Marengo,N/A,N/A,N/A
1069,Maribyrnong,AU,-37.7833,144.8833
1070,Markwood,AU,-36.4574,146.4984
1071,Marlo,AU,-37.7833,148.5333
1072,Marong,AU,-36.7333,144.1333
1073,Maroona,AU,-37.4167,142.8667
1074,Marraweeney,AU,-36.75,145.75
1075,Marshall,N/A,N/A,N/A
1076,Marungi,AU,-36.2,145.5167
1077,Maryborough,AU,-25.5333,152.7
1078,Marysville,AU,-37.5167,145.75
1079,Maryvale,AU,-28.0667,152.2333
