Local Government Area,Country,Lat,Lng
Buchan,AU,-37.5,148.1833
Buchan South,AU,-37.5667,148.1167
Buckland,AU,-42.6,147.7167
Buckley,AU,-38.2333,144.1
Buffalo,N/A,N/A,N/A
Buffalo River,AU,-36.6333,146.6833
Bulga,AU,-32.6667,151.0167
Bulla,AU,-37.6333,144.8
Bullarook,N/A,N/A,N/A
Bullarto,AU,-37.4,144.2333
Bulleen,AU,-37.7667,145.0833
Bullengarook,AU,-37.5167,144.4833
Bullumwaal,AU,-37.6333,147.5333
Buln Buln,AU,-38.1,145.9333
Bumberrah,N/A,N/A,N/A
Bunbartha,N/A,N/A,N/A
Bundalaguah,AU,-38.0333,147.0167
Bundalong,AU,-36.0333,146.1667
Bundalong South,N/A,N/A,N/A
Bundoora,AU,-37.6982,145.0597
Bungalally,AU,-36.8,142.25
Bungaree,AU,-37.5667,144
Bungeet,AU,-36.3,146.05
Bungil,AU,-36.0667,147.35
Buninyong,AU,-37.6667,143.9167
Bunkers Hill,AU,-31.565,151.1344
Bunyip,AU,-38.1,145.7167
Burkes Flat,N/A,N/A,N/A
Burnewang,N/A,N/A,N/A
Burnley,AU,-37.8296,145.0175
Burnside,AU,-34.9333,138.65
Burnside Heights,AU,-37.7324,144.7556
Burramine,N/A,N/A,N/A
Burrumbeet,AU,-37.4703,143.6548
Burwood,AU,-37.8498,145.119
Burwood East,AU,-37.8536,145.1504
Bushfield,AU,-38.3333,142.5167
Buxton,AU,-34.25,150.5333
Byaduk,AU,-37.9523,141.9552
Byaduk North,N/A,N/A,N/A
Byawatha,N/A,N/A,N/A
Bylands,AU,-37.35,144.9667
Byrneside,AU,-36.4167,145.1833
Cabarita,AU,-33.8475,151.1159
Cabbage Tree Creek,AU,-37.6984,148.7204
Cairnlea,AU,-37.7593,144.7878
Calder Park,AU,-37.6763,144.7611
Caldermeade,AU,-38.25,145.5333
California Gully,AU,-36.7302,144.2634
Callignee,AU,-38.3333,146.5833
Callignee North,N/A,N/A,N/A
Calulu,N/A,N/A,N/A
Camberwell,AU,-37.842,145.0694
Cambrian Hill,AU,-37.6333,143.8333
Campbellfield,AU,-37.6833,144.95
Campbells Bridge,AU,-36.9142,142.7832
Campbells Creek,N/A,N/A,N/A
Campbells Forest,AU,-36.6145,144.1426
Campbelltown,AU,-34.0667,150.8167
Camperdown,AU,-33.8896,151.1764
Canadian,AU,-37.5761,143.8774
Cann River,AU,-37.5667,149.1667
Cannons Creek,AU,-38.2115,145.3113
Canterbury,AU,-37.8247,145.0848
Cape Clear,AU,-37.7833,143.6167
Cape Paterson,N/A,N/A,N/A
Cape Schanck,N/A,N/A,N/A
Cape Woolamai,AU,-38.5313,145.3358
Capels Crossing,N/A,N/A,N/A
Carag Carag,AU,-36.4667,144.9167
Caramut,AU,-37.95,142.5167
Carapooee,AU,-36.7,143.3333
Carapooee West,N/A,N/A,N/A
Carapook,N/A,N/A,N/A
Cardigan,AU,-37.5333,143.75
Cardigan Village,N/A,N/A,N/A
Cardinia,AU,-38.15,145.4167
Cardross,N/A,N/A,N/A
Caringal,N/A,N/A,N/A
Carisbrook,AU,-37.0333,143.8167
Carlisle River,AU,-38.5667,143.3833
Carlsruhe,AU,-37.2833,144.5
Carlton,AU,-33.9708,151.1214
Carlton North,AU,-37.7846,144.9729
Carlyle,N/A,N/A,N/A
Carnegie,AU,-37.8887,145.0571
Carngham,AU,-37.5833,143.5833
Caroline Springs,AU,-37.7412,144.7363
Carpendeit,AU,-38.3833,143.2667
Carrajung,AU,-38.3667,146.6833
Carrajung Lower,AU,-38.4,146.7333
Carranballac,AU,-37.6972,143.1615
Carrum,AU,-38.0833,145.1333
Carrum Downs,AU,-38.1,145.1833
Carwarp,AU,-34.4571,142.1973
Cashmore,AU,-38.3167,141.4833
Castella,AU,-37.5167,145.4333
Casterton,AU,-37.5833,141.4
Castle Donnington,N/A,N/A,N/A
Castlemaine,AU,-37.0667,144.2167
Catani,AU,-38.2,145.6333
Cathkin,N/A,N/A,N/A
Caulfield,AU,-37.8825,145.0229
Caulfield East,AU,-37.8813,145.0421
Caulfield North,AU,-37.8726,145.0226
Caulfield South,AU,-37.8967,145.0273
Cavendish,AU,-37.5167,142.0333
Ceres,AU,-38.1667,144.2667
Chadstone,AU,-37.8877,145.0952
Chapple Vale,N/A,N/A,N/A
Charlemont,N/A,N/A,N/A
Charleroi,N/A,N/A,N/A
Charlton,AU,-36.2667,143.35
Chelsea,AU,-38.05,145.1167
Chelsea Heights,AU,-38.0333,145.1333
Cheltenham,AU,-34.8667,138.5167
Cheshunt,AU,-36.8,146.4333
Chetwynd,AU,-37.2833,141.4167
Chewton,AU,-37.0833,144.2667
Childers,AU,-38.3,146.1167
Chiltern,AU,-36.1667,146.6167
Chirnside Park,AU,-37.7386,145.3143
Chocolyn,AU,-38.1948,143.194
Christmas Hills,AU,-37.65,145.3333
Chum Creek,N/A,N/A,N/A
Churchill,AU,-27.6423,152.7502
Clarendon,AU,-35.1167,138.6333
Clarinda,AU,-37.9431,145.106
Clarkefield,AU,-37.4833,144.75
Clarkes Hill,N/A,N/A,N/A
Clayton,AU,-37.9173,145.1304
Clayton South,AU,-37.9431,145.1252
Clematis,AU,-37.9333,145.4167
Clifton Creek,N/A,N/A,N/A
Clifton Hill,AU,-37.7904,144.9975
Clifton Springs,AU,-38.15,144.5667
Clonbinane,N/A,N/A,N/A
Cloverlea,AU,-38.2333,146
Club Terrace,AU,-37.5333,148.95
Clunes,AU,-37.3,143.7833
Clyde,AU,-38.1333,145.3333
Clyde North,AU,-38.1167,145.3333
Clydesdale,AU,-37.1833,144.1
Cobains,N/A,N/A,N/A
Cobaw,AU,-37.2667,144.6333
Cobden,AU,-38.3333,143.0667
Cobram,AU,-35.9167,145.65
Cobram East,N/A,N/A,N/A
Cobrico,AU,-38.3,143.0333
Coburg,AU,-37.75,144.9667
Coburg North,AU,-37.7244,144.9676
Cochranes Creek,N/A,N/A,N/A
Cockatoo,AU,-37.9333,145.5
Cocoroc,AU,-37.9749,144.6287
Codrington,AU,-38.2667,141.9667
Cohuna,AU,-35.8,144.2
Coimadai,AU,-37.6167,144.4667
Colac,AU,-38.3333,143.5833
Colac Colac,N/A,N/A,N/A
Colac East,N/A,N/A,N/A
Colac West,N/A,N/A,N/A
Coldstream,AU,-37.7167,145.3667
Coleraine,AU,-37.6,141.7
Colignan,AU,-34.55,142.3833
Collingwood,AU,-37.8,144.9833
Concongella,N/A,N/A,N/A
Condah,AU,-37.95,141.75
Congupna,AU,-36.3005,145.4332
Connewarre,AU,-38.2667,144.4
Coolaroo,AU,-37.6568,144.9346
Cooma,AU,-36.2333,149.1333
Coomboona,N/A,N/A,N/A
Coomoora,AU,-37.3312,144.1795
Cora Lynn,AU,-38.15,145.6
Coragulac,N/A,N/A,N/A
Corindhap,AU,-37.8776,143.7387
Corinella,AU,-38.4146,145.4312
Corio,AU,-38.0833,144.3833
Cornella,AU,-36.7,144.75
Cornishtown,N/A,N/A,N/A
Coronet Bay,AU,-38.4377,145.4363
Corop,AU,-36.4667,144.8
Cororooke,AU,-38.2833,143.5167
Corringle,N/A,N/A,N/A
Corryong,AU,-36.2,147.8833
Corunnun,N/A,N/A,N/A
Cosgrove,AU,-36.35,145.6667
Costerfield,N/A,N/A,N/A
Cottles Bridge,AU,-37.6333,145.2167
Cowes,AU,-38.45,145.2333
Cowwarr,AU,-38.0167,146.6833
Craigie,AU,-31.7816,115.7711
Craigieburn,AU,-37.6,144.95
Cranbourne,AU,-38.1,145.2833
Cranbourne East,AU,-38.1081,145.3056
Cranbourne North,AU,-38.0775,145.2989
Cranbourne South,N/A,N/A,N/A
Cranbourne West,AU,-38.1022,145.2517
Creek Junction,N/A,N/A,N/A
Cremorne,AU,-33.8333,151.225
Cressy,AU,-41.6833,147.0667
Creswick,AU,-37.4167,143.9167
Crib Point,AU,-38.35,145.2
Crossley,AU,-38.3,142.3333
Crossover,AU,-38.05,145.9667
Croydon,AU,-33.8833,151.1167
Croydon Hills,AU,-37.776,145.2671
Croydon North,AU,-37.7833,145.3
Croydon South,AU,-37.815,145.2736
Culgoa,AU,-35.7167,143.0833
Cullulleraine,N/A,N/A,N/A
Curdies River,N/A,N/A,N/A
Curlewis,AU,-38.1833,144.4833
Dadswells Bridge,AU,-36.9178,142.5133
Daisy Hill,AU,-27.6436,153.1538
Dales Creek,AU,-37.5219,144.3032
Dallas,AU,-37.6708,144.9354
Dalmore,AU,-38.1833,145.4167
Daltons Bridge,N/A,N/A,N/A
Dalyston,AU,-38.5667,145.55
Dandenong,AU,-37.9875,145.2148
Dandenong North,AU,-37.9558,145.2143
Dandenong South,AU,-38.028,145.2209
Dargo,N/A,N/A,N/A
Darley,AU,-37.6377,144.4263
Darlington,AU,-31.9167,116.0833
Darnum,AU,-38.1833,146.0167
Darraweit Guim,AU,-37.4019,144.894
Dartmoor,AU,-37.9225,141.2767
Dartmouth,N/A,N/A,N/A
Daylesford,AU,-37.35,144.15
Deans Marsh,AU,-38.4,143.8667
Dederang,AU,-36.4833,147.0167
Deep Lead,AU,-37.0167,142.7333
Deepdene,AU,-37.8121,145.0664
Deer Park,AU,-37.7667,144.7833
Delacombe,AU,-37.5891,143.8147
Delahey,AU,-37.7198,144.7773
Delatite,N/A,N/A,N/A
Denison,AU,-38.0333,146.8833
Dennington,AU,-38.3667,142.45
Denver,AU,-37.2667,144.3
Dereel,AU,-37.8167,143.7667
Derrimut,AU,-37.8167,144.7333
Derrinal,AU,-36.8833,144.6333
Derrinallum,AU,-37.95,143.2167
Devenish,AU,-36.3333,145.9
Devils River,N/A,N/A,N/A
Devon Meadows,AU,-38.1667,145.3
Devon North,N/A,N/A,N/A
Dewhurst,N/A,N/A,N/A
Dhurringile,N/A,N/A,N/A
Diamond Creek,AU,-37.6667,145.15
Digby,AU,-37.8,141.5333
Diggers Rest,AU,-37.6333,144.7333
Dimboola,AU,-36.4667,142.05
Dingee,AU,-36.3699,144.2326
Dingley Village,AU,-37.9827,145.1342
Dingwall,AU,-35.8,143.85
Dinner Plain,AU,-37.0236,147.239
Dixons Creek,AU,-37.6,145.4167
Dobie,AU,-37.3167,143.0333
Dockers Plains,N/A,N/A,N/A
Docklands,AU,-37.8175,144.9395
Dollar,AU,-38.5665,146.1758
Don Valley,AU,-37.7609,145.5869
Donald,N/A,N/A,N/A
Doncaster,AU,-37.7883,145.1237
Doncaster East,AU,-37.7789,145.1639
Donnybrook,AU,-33.5833,115.8167
Donvale,AU,-37.7891,145.1749
Dooen,AU,-36.6667,142.2833
Dookie,AU,-36.3333,145.7
Doreen,AU,-37.6,145.15
Dorodong,N/A,N/A,N/A
Doveton,AU,-37.9888,145.2386
Driffield,N/A,N/A,N/A
Dromana,AU,-38.3418,144.9656
Drouin,N/A,N/A,N/A
Drouin East,N/A,N/A,N/A
Drouin South,AU,-38.1667,145.8333
Drouin West,AU,-38.1,145.8667
Drumborg,AU,-38.0833,141.6
Drumcondra,AU,-38.1302,144.354
Drummond,AU,-37.2333,144.3333
Drummond North,N/A,N/A,N/A
Drung,N/A,N/A,N/A
Dry Diggings,N/A,N/A,N/A
Drysdale,AU,-38.1667,144.5667
Duchembegarra,N/A,N/A,N/A
Dumbalk,AU,-38.5333,146.0833
Dumosa,N/A,N/A,N/A
Dunach,AU,-37.2167,143.7167
Dunkeld,AU,-37.65,142.35
Dunluce,AU,-36.9,143.6
Dunneworthy,N/A,N/A,N/A
Dunolly,AU,-36.85,143.7333
Durdidwarrah,N/A,N/A,N/A
Durham Lead,AU,-37.7,143.8833
Durham Ox,AU,-36.1333,143.9167
Dutson,N/A,N/A,N/A
Eagle Point,AU,-37.9,147.6833
Eaglehawk,AU,-36.7333,144.25
Eaglehawk North,N/A,N/A,N/A
Eaglemont,AU,-37.7651,145.0633
East Bairnsdale,N/A,N/A,N/A
East Bendigo,AU,-36.7472,144.3135
East Geelong,AU,-38.1556,144.3802
East Melbourne,AU,-37.8167,144.9879
East Wangaratta,N/A,N/A,N/A
East Warburton,N/A,N/A,N/A
Eastern View,N/A,N/A,N/A
Eastwood,AU,-33.8,151.0833
Ebden,AU,-36.15,147.0333
Echuca,AU,-36.1333,144.75
Echuca Village,N/A,N/A,N/A
Echuca West,N/A,N/A,N/A
Eden Park,AU,-37.4833,145.0833
Edenhope,AU,-37.05,141.3
Edgecombe,AU,-37.1833,144.4333
Edi,AU,-36.6491,146.427
Edithvale,AU,-38.0372,145.1097
Eganstown,AU,-37.3667,144.0833
Eildon,AU,-37.2333,145.9167
Elaine,AU,-37.7833,144.0333
Eldorado,AU,-36.3,146.5167
Elevated Plains,N/A,N/A,N/A
Elingamite,N/A,N/A,N/A
Ellerslie,AU,-38.15,142.7
Elliminyt,AU,-38.35,143.5833
Ellinbank,AU,-38.2333,145.9333
Elmhurst,AU,-37.1667,143.25
Elmore,AU,-36.5,144.6
Elphinstone,AU,-37.1,144.3333
Elsternwick,AU,-37.8844,145.0043
Eltham,AU,-37.7333,145.15
Eltham North,AU,-37.7,145.15
Elwood,AU,-37.8817,144.983
Emerald,AU,-23.5333,148.1667
Emu Creek,AU,-36.8333,144.35
Endeavour Hills,AU,-37.9703,145.2563
Enfield,AU,-34.8526,138.6026
Englefield,N/A,N/A,N/A
Eppalock,AU,-36.8333,144.4167
Epping,AU,-33.7727,151.0818
Epsom,AU,-36.7167,144.3167
Erica,AU,-37.9833,146.3667
Eskdale,AU,-36.4667,147.2333
Essendon,AU,-37.7498,144.9109
Essendon Fields,AU,-37.7269,144.9004
Essendon North,AU,-37.7385,144.9012
Essendon West,N/A,N/A,N/A
Eumemmerring,AU,-37.9985,145.2469
Eureka,AU,-37.5647,143.8826
